# Format: name|upright keyword|upright meaning|reversed keyword|reversed meaning
The Fool|New Beginnings|You stand at the edge of a cliff, ready to leap into the unknown. Pure innocence, freedom, and limitless possibility await you on this new adventure.|Recklessness|You may be rushing forward without preparation. Stop and consider the consequences before taking the next step.
The Magician|Willpower|You have all the tools and abilities you need to achieve your goals. Focus your intention — the time to act is now.|Manipulation|Talents are being misused or wasted, or someone may be trying to deceive you. Re-examine your true motives.
The High Priestess|Intuition|Listen to the voice deep within you. The answers you seek are already inside — find stillness and let them surface.|Hidden Secrets|Important information is being concealed, or you are avoiding your own intuition. Trust what you already sense.
The Empress|Abundance|Nature's harvest and the nurturing energy of the feminine. Creativity flourishes, relationships are fulfilling, and prosperity surrounds you.|Dependence|Over-reliance on others, or a sense of emotional and material lack. Learn to be self-sufficient.
The Emperor|Authority|Stable leadership and structure. Use reason and discipline to establish order and take command of your situation.|Tyranny|Power is being abused and control has become excessive. Learn to let go and trust others.
The Hierophant|Tradition|Seek the guidance of wisdom and spiritual grounding. Traditional values and a mentor's insight will light your way.|Dogma|Blindly following rules without flexibility. Question the beliefs that are holding you back.
The Lovers|Choice|A significant choice or relationship stands before you. True love is built on shared values — follow your heart.|Discord|Disharmony in a relationship, conflicting values, or indecision on an important matter.
The Chariot|Victory|Through willpower and determination you can overcome any obstacle and drive toward success. Stay in control and don't let emotions steer you off course.|Loss of Control|Direction is lost, inner and outer conflict causes stagnation. Reclaim your focus.
Strength|Inner Strength|True strength comes from inner calm and compassion, not brute force. You have the power to gently tame the beast within.|Weakness|Self-doubt and fear have taken over, and your inner strength is temporarily hidden from you.
The Hermit|Introspection|The time for solitude and reflection has come. Seek answers within — wisdom emerges in stillness.|Isolation|You have withdrawn too far, rejecting help from others. Or you are avoiding necessary self-reflection by losing yourself in social activity.
Wheel of Fortune|Turning Point|The wheel of fate is turning and good fortune is on its way. Change is the law of the universe — go with the flow.|Bad Luck|A cycle of misfortune. Resisting change only brings more pain. Accept the highs and lows and wait for the tide to turn.
Justice|Fairness|Your actions will be judged impartially. Be honest with yourself and take responsibility for your choices.|Injustice|An outcome feels unfair, or you are avoiding accountability for your actions. Ask yourself whether you have truly been honest.
The Hanged Man|Surrender|Willingly release control and view your situation from a new perspective. A temporary sacrifice will bring profound insight.|Stalling|Unnecessary sacrifice, or a refusal to see things differently. You are stuck in old patterns.
Death|Transformation|The end of the old makes room for the new. Release the past, embrace the change — this is a necessary metamorphosis.|Resistance to Change|Clinging to what has already ended. Fear of change is blocking your growth.
Temperance|Balance|Patience and moderation bring harmony. Blend different elements and find the equilibrium your life needs.|Imbalance|Extreme behaviour, lack of patience, and a life out of balance. It's time to pull back and readjust.
The Devil|Bondage|You are bound by material desires or harmful obsessions. Know that these chains are ones you can remove yourself.|Liberation|You are beginning to break free — releasing yourself from addiction or a toxic relationship.
The Tower|Sudden Change|An unexpected upheaval shatters a false sense of stability. Though painful, this clearing away is necessary for rebuilding.|Avoiding Disaster|A crisis has been narrowly avoided, or you are still delaying a change that must happen.
The Star|Hope|After the darkness, a star of hope is lit once more. You are watched over by the universe — trust that healing and beauty are coming.|Despair|Hope has been lost and you feel abandoned. Remind yourself that the darkness is only temporary.
The Moon|Illusion|Things are not as they appear. Subconscious fears and illusions are clouding your judgment — discern what is real from what is not.|Confusion Lifting|The fog is beginning to clear. Truth surfaces and the fears within you are released.
The Sun|Joy|Light, vitality, and success. Enjoy life with the pure openness of a child — good things are happening right now.|Temporary Clouds|A brief shadow crosses the sun, but your good fortune remains. Don't lose your optimism.
Judgement|Awakening|A great call is sounding. The time has come to reflect on the past, make a change, and step into a higher version of yourself.|Self-Doubt|You are ignoring the call within, afraid of being judged, and unable to forgive yourself or others.
The World|Completion|An important cycle has come to a fulfilling close. You have integrated all your experiences and are ready to move to the next level.|Incompleteness|Things feel unresolved and closure is elusive. Finish what is in front of you before moving forward.
